epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1677.63,1.82256,2.7828,2.05891,0.26937,0.26769,0.17791,0.06173,2.11644,2.72944,2.48148,0.00066523,0.00066523,0.00066523
2,3340.47,1.91631,2.31385,2.16852,0.4187,0.35902,0.31658,0.13064,2.01289,2.29297,2.28149,0.00120004,0.00120004,0.00120004
3,4996.41,1.89007,2.19037,2.1432,0.51059,0.3766,0.40174,0.18064,1.84195,2.08386,2.08995,0.00160285,0.00160285,0.00160285
4,6650.66,1.80939,2.01564,2.04542,0.41495,0.39306,0.34932,0.16194,1.85311,2.07637,2.08946,0.001406,0.001406,0.001406
5,8303.73,1.7657,1.91035,1.98436,0.55952,0.42644,0.44772,0.21292,1.73964,1.88465,2.00119,0.001208,0.001208,0.001208
6,9955.74,1.70433,1.8319,1.91533,0.59962,0.48451,0.53546,0.25883,1.72521,1.73886,1.90651,0.00101,0.00101,0.00101
7,11608.2,1.66257,1.76012,1.88505,0.62592,0.50123,0.54949,0.28273,1.6302,1.66862,1.83654,0.000812,0.000812,0.000812
8,13260.4,1.62526,1.68584,1.84838,0.63425,0.51383,0.57498,0.28737,1.60676,1.68755,1.80071,0.000614,0.000614,0.000614
9,14914.6,1.57966,1.62914,1.80648,0.64261,0.51612,0.57074,0.29969,1.61458,1.57688,1.84108,0.000416,0.000416,0.000416
10,16567.9,1.54195,1.57854,1.77779,0.68617,0.54737,0.63351,0.34883,1.50681,1.47413,1.72037,0.000218,0.000218,0.000218
